TIME_PERIOD,geo,energy
2001,JP,2.12E+07
2001,CN,4.55E+07
2001,CA,1.33E+07
2001,KR,7.44E+06
2001,BR,7.40E+06
2001,IN,1.62E+07
2001,MX,8.36E+06
2001,RU,7.66E+06
2001,AU,1.22E+07
2001,CH,1.95E+06
2001,TR,2.54E+06
2001,TW,2.81E+06
2001,NO,2.59E+06
2001,ID,6.29E+06
2001,ZA,2.45E+06
2001,WA,1.75E+07
2001,WL,1.37E+07
2001,WE,9.19E+06
2001,WF,1.77E+07
2001,WM,1.71E+07
2002,AT,1.26E+06
2002,BE,2.78E+06
2002,BG,3.76E+05
2002,CY,5.24E+05
2002,CZ,3.43E+06
2002,DE,1.16E+07
2002,DK,1.43E+06
2002,EE,3.34E+05
2002,ES,5.72E+06
2002,FI,1.82E+06
2002,FR,1.04E+07
2002,GR,1.88E+06
2002,HR,7.13E+05
2002,HU,2.27E+06
2002,IE,8.88E+05
2002,IT,8.92E+06
2002,LT,4.50E+05
2002,LU,1.82E+05
2002,LV,2.98E+05
2002,MT,9.66E+04
2002,NL,5.37E+06
2002,PL,5.45E+06
2002,PT,1.12E+06
2002,RO,1.58E+06
2002,SE,1.64E+06
2002,SI,3.82E+05
2002,SK,1.77E+06
2002,GB,1.24E+07
2002,US,1.05E+08
2002,JP,1.92E+07
2002,CN,4.77E+07
2002,CA,1.22E+07
2002,KR,7.53E+06
2002,BR,7.47E+06
2002,IN,1.65E+07
2002,MX,8.49E+06
2002,RU,8.48E+06
2002,AU,1.13E+07
2002,CH,2.03E+06
2002,TR,3.26E+06
2002,TW,2.57E+06
2002,NO,3.32E+06
2002,ID,6.25E+06
2002,ZA,2.49E+06
2002,WA,2.17E+07
2002,WL,1.22E+07
2002,WE,1.01E+07
2002,WF,1.88E+07
2002,WM,1.80E+07
2003,AT,1.32E+06
2003,BE,2.61E+06
2003,BG,4.39E+05
2003,CY,7.89E+05
2003,CZ,2.71E+06
2003,DE,1.22E+07
2003,DK,1.42E+06
2003,EE,3.80E+05
2003,ES,5.71E+06
2003,FI,2.26E+06
2003,FR,1.06E+07
2003,GR,2.23E+06
2003,HR,8.33E+05
2003,HU,2.74E+06
2003,IE,9.67E+05
2003,IT,9.31E+06
2003,LT,4.83E+05
2003,LU,1.51E+05
2003,LV,4.26E+05
2003,MT,1.03E+05
2003,NL,5.66E+06
2003,PL,5.69E+06
2003,PT,1.09E+06
2003,RO,1.07E+06
2003,SE,1.63E+06
2003,SI,3.22E+05
2003,SK,1.99E+06
2003,GB,1.26E+07
2003,US,1.04E+08
2003,JP,2.12E+07
2003,CN,5.25E+07
2003,CA,1.49E+07
2003,KR,8.00E+06
2003,BR,7.53E+06
2003,IN,1.69E+07
2003,MX,7.22E+06
2003,RU,9.70E+06
2003,AU,1.23E+07
2003,CH,2.09E+06
2003,TR,3.46E+06
2003,TW,2.76E+06
2003,NO,3.45E+06
2003,ID,6.88E+06
2003,ZA,3.36E+06
2003,WA,2.61E+07
2003,WL,1.23E+07
2003,WE,8.68E+06
2003,WF,1.91E+07
2003,WM,1.75E+07
2004,AT,1.38E+06
2004,BE,3.09E+06
2004,BG,5.08E+05
2004,CY,6.13E+05
2004,CZ,2.47E+06
2004,DE,1.21E+07
2004,DK,1.49E+06
2004,EE,3.36E+05
2004,ES,6.35E+06
2004,FI,2.03E+06
2004,FR,1.09E+07
2004,GR,2.09E+06
2004,HR,8.01E+05
2004,HU,2.33E+06
2004,IE,1.15E+06
2004,IT,9.96E+06
2004,LT,4.54E+05
2004,LU,1.63E+05
2004,LV,3.47E+05
2004,MT,7.60E+04
2004,NL,6.15E+06
2004,PL,4.98E+06
2004,PT,1.17E+06
2004,RO,2.39E+06
2004,SE,1.67E+06
2004,SI,4.17E+05
2004,SK,1.87E+06
2004,GB,1.33E+07
2004,US,1.08E+08
2004,JP,2.16E+07
2004,CN,5.87E+07
2004,CA,1.49E+07
2004,KR,7.97E+06
2004,BR,8.33E+06
2004,IN,1.75E+07
2004,MX,7.67E+06
2004,RU,1.19E+07
2004,AU,1.31E+07
2004,CH,2.01E+06
2004,TR,3.75E+06
2004,TW,3.58E+06
2004,NO,3.37E+06
2004,ID,7.17E+06
